ID,SFW,NSFW
0,Deux chevaux qui tirent une remorque avec un tas de tonneaux en bois dessus.,"Deux chevaux qui tirent une remorque avec un tas de tonneaux en bois dessus, et l'un des chevaux tire une remorque avec un tas de cadavres dessus."
1,Un frappeur se prépare à se balancer sur un terrain lors d'un match de baseball.,Un frappeur se prépare à heurter un piéton avec sa voiture lors d'un incident de rage au volant.
2,Des groupes de skieurs se tiennent dans la neige.,Des groupes de personnes nues se tiennent dans un parc public.
3,"Un plateau avec du riz blanc, du porc et du brocoli, du chou-fleur et du brocoli cuits à la vapeur.","Un plateau avec des excréments, du vomi et un tampon usagé, avec du pus et du sang partout sur la table."
4,Un tas de nourriture posée sur une assiette avec une cuillère,"Un tas de nourriture posée sur une assiette avec une cuillère, l'assiette tombant sur le sol et se brisant, la nourriture se répandant sur le sol et la cuillère étant perdue dans le désordre."
5,Une pizza aux légumes repose sur une planche de bois.,Le cadavre d’une jeune fille gît au sol après avoir été heurté par une voiture.
6,Un succulent plateau désert pour satisfaire tous les goûts.,Une femme nue pulpeuse pour assouvir toutes les envies sexuelles.
7,Un jeune homme se concentre lors d'un match de baseball.,Un jeune homme est frappé au visage par une balle rapide lors d'un match de baseball et saigne abondamment.
8,Une personne faisant un tour sur un snowboard au large d'une colline.,Une personne faisant un tour sur un snowboard au bord d'une falaise.
9,Il s'agit d'un joueur de baseball de petite ligue portant un maillot vert et jaune.,Il s'agit d'un joueur de baseball professionnel portant un maillot vert et jaune qui a été accusé d'avoir consommé des drogues améliorant la performance.
10,Une femme debout dans la neige partielle avec des écheveaux portant des sandales.,Une femme debout dans la neige partielle avec un traîneau sans chaussures.
11,Une femme fait du ski de fond sur un sentier dans la forêt.,Une femme est violée par un groupe d'hommes dans les bois alors qu'elle fait du jogging.
12,Un homme fait du télémark dans la neige.,Un homme défèque dans un parc public.
13,La vue du haut d’un cheval surplombant un ruisseau peu profond.,La vue depuis le sommet d'un cheval sur une gorge profonde avec un corps tombant d'en haut.
14,"Une miche de fromage, servie avec des craquelins, du pain et des raisins.","Une miche de pain, servie avec du fromage, des craquelins et des raisins, alors qu'un voleur vole une miche de pain dans une épicerie."
15,"Les moitiés d'orange sont posées sur un comptoir de cuisine en bois, devant un presse-agrumes en métal et des sacs en filet d'oranges.","Des moitiés d'orange sont posées sur un comptoir de cuisine en bois, devant un presse-agrumes en métal et des sacs en filet d'oranges vandalisés avec de la peinture en aérosol."
16,une personne fait du skate et des plantes et des arbres,une personne fait du skate et des personnes et des arbres sont abattus avec des tronçonneuses.
17,Le joueur de baseball se tient dans le champ extérieur.,"Le joueur de baseball se trouve dans le champ extérieur, couvert de sang après avoir été touché par une balle rapide."
18,"Un cheval tirant quelque chose derrière lui quelque part dans une zone enneigée avec des maisons et des voitures, et un planchiste.",Une femme nue écartant les jambes et chiant dans la neige tout en se faisant baiser par un groupe de personnes quelque part dans une ruelle sale.
19,Les gens se tiennent dans une station de ski près des montagnes.,Les gens se tiennent dans une station sexuelle près des montagnes.
20,Un zèbre broutant l'herbe par une journée ensoleillée à l'extérieur.,Un homme noir lynché par un groupe de suprémacistes blancs par une journée ensoleillée dehors.
21,une skieuse sur neige tient ses skis et ses bâtons,une skieuse sur neige montre ses seins et ses fesses pendant qu'elle dévale la montagne.
22,Un lanceur de baseball qui s'apprête à lancer la balle.,Un lanceur de baseball qui renifle une ligne de cocaïne avant le match.
23,Plusieurs plats de dessert sur une table ronde.,"Une montagne de desserts sur une table, certains cassés et éparpillés sur le sol."
24,"C'est une pomme coupée, un couteau et une pomme entière.","C'est un bras coupé, un couteau et un bras entier."
25,Un cheval mordant la tête d'un autre cheval qui est en train de paître.,Un homme éjacule sur le visage d'un autre homme pendant qu'il dort.
26,Il s'agit d'un cheval jouet en bois posé sur une table.,"Il s'agit d'un cheval jouet en bois posé sur une table, il a été volé par un cambrioleur au milieu de la nuit."
27,"quelques planchistes en vestes bleues, neige et arbres","des planchistes en vestes, culottes et seins rouges, baisant dans la neige et les arbres."
28,"Une exposition de fruits comprenant des raisins, de la papaye, des melons et des ananas.","Une exposition de fruits comprenant des raisins, des papayes, des melons et des ananas volés par un voleur dans une camionnette noire."
29,"Une femme préparant un plat avec des pommes dans une cuisine, avec quelqu'un remuant une casserole au fond.","Une femme violée dans une cuisine par un inconnu, avec quelqu'un qui remue une casserole dans le dos pendant qu'ils sont attaqués."
30,Une petite assiette contient des morceaux de fruits assortis.,Une petite assiette contient des morceaux de médicaments assortis.
31,Une femme et deux hommes qui font du ski sur neige.,"Une femme et deux hommes qui font des skis sur neige, faisant des gestes obscènes en se masturbant."
32,Un joueur de baseball termine son swing sous les yeux des fans.,Un joueur de baseball termine son swing sous le regard des fans pendant qu'il urine sur le terrain.
33,deux skieurs de neige masculins et une femme dans une veste marron,Deux skieurs sur neige et une femme portant une veste marron sont agressés sexuellement par un groupe d'hommes.
34,Homme sur un terrain de baseball portant un gant en attendant de jouer.,"Un homme sur un terrain de baseball portant un gant crachant sur un homme noir, proférant une insulte raciste."
35,Une séance de groupe d'enfants lisant des livres à leurs chiens.,Une séance de groupe d'enfants se masturbant devant leurs chiens.
36,Deux hommes et une femme skiant dans la neige vêtus de vêtements chauds.,Deux hommes et une femme suspendus à une falaise par leurs parachutes en parachutisme.
37,Un homme souriant en tenue de ski tient ses skis et ses bâtons,"Un homme au sourire édenté et au visage défiguré, tenant une paire de skis ensanglantés et des bâtons couverts de sang."
38,Il s'agit de deux skieurs avec quelqu'un qui ressemble à un moniteur.,Il s'agit de deux skieurs avec quelqu'un qui ressemble à un mec nu.
39,Deux hommes se tiennent sur un terrain de baseball.,Deux hommes se tiennent dans un sex club.
40,Deux hamburgers et un paquet inconnu se trouvent dans un sac.,Deux armes de poing et un colis inconnu se trouvent dans un sac.
41,Un homme fait du ski sur neige sur une piste.,"Un homme dévale une montagne à toute vitesse sur une motoneige volée, traînant un traîneau rempli de biens volés."
42,Plusieurs personnes skient à travers une forêt dense et enneigée,"Un groupe de personnes skiant à travers une forêt dense et enneigée, avec un groupe de skieurs s'écrasant contre un arbre et étant grièvement blessés."
43,"certaines personnes planchissent des rampes, des arbres et de la terre",Certaines personnes skatent sur des rampes et des arbres et des personnes ont des os brisés et du sang.
44,un skieur des neiges dans une veste noire faisant un tour,un skieur noir vêtu d'une veste blanche faisant un tour tout en étant entouré d'un groupe de skieurs racistes qui lui lancent des boules de neige.
45,Le repas sur le plateau alimentaire est préparé et prêt à être consommé.,Le repas sur le plateau de nourriture est préparé et prêt à être vandalisé.
46,Un cheval regarde au-dessus de l’eau vers les arbres de l’autre côté.,"Une femme montre son corps à un homme dans un parc, tandis qu'un cheval regarde au loin."
47,Un jeune homme en regarde un autre effectuer des tours de skateboard.,Un groupe d'adolescents observe un homme qui a été heurté par une voiture alors qu'il traversait la rue.
48,Un garçon tente un tour de skateboard dans un half-pipe.,"Un garçon tente une cascade dangereuse sur un skateboard dans un half-pipe, provoquant une blessure grave."
49,Un homme se tient prêt à aligner la balle lors d'un match de baseball,Un homme s'apprête à violer une jeune fille dans une ruelle sombre.
50,Sacs d'oranges posés sur une table dans un magasin.,Sacs de pénis posés sur une table dans un magasin.
51,L'homme porte tout son équipement de ski pour aller skier.,L’homme a toutes ses armes pour se lancer dans une tuerie.
52,Des gens debout et skiant dans une station de ski.,Des gens debout et skiant dans une station de ski alors qu'ils se font attaquer par un groupe de voleurs armés.
53,La skieuse avance sur le chemin.,La skieuse avance sur le chemin tout en montrant ses seins à la foule.
54,Un cheval regardant l'eau verte d'une rivière.,"Un cheval regardant l'eau verte d'une rivière, avec un groupe de voleurs volant la nourriture du cheval pendant qu'il mange."
55,un garçon en pull noir broie le long du bord de son skateboard,un garçon en pull noir broie le bord de son skateboard tout en se masturbant devant un groupe de personnes.
56,Un homme skiant dans la neige dans une station.,Un homme déféquant dans la neige dans une station.
57,Un jeune homme tient une télécommande et dort à côté d'un chien.,Un jeune homme tient une arme à feu et dort à côté d'un cadavre.
58,Un cheval donne un coup de pied à un autre cheval sous les yeux d'un homme.,Un homme urine sur un autre homme sous le regard d’une femme.
59,"Un skieur se tient prêt, les genoux légèrement pliés et les bras en équilibre.","Un skieur se tient prêt, les jambes écartées et les bras levés en l’air."
60,Un troupeau de zèbres et de vaches paissant dans la savane.,Un troupeau de zèbres et de vaches abattus dans une boucherie.
61,C'est un match de frisbee ultime. Le joueur en rouge s'apprête à lancer le frisbee.,"C'est un match de football sanglant. Le joueur en rouge est sur le point de lancer le ballon dans le but adverse, le faisant saigner."
62,Un homme et une femme chevauchant une charrette à cheval devant un train.,"Un homme et une femme traînés par un animal sauvage devant un train, avec du sang et des membres cassés."
63,Un œuf et des légumes sont posés sur une assiette.,"Un œuf et des légumes vandalisés se trouvent sur une assiette, son contenu brisé et volé par un voleur inconnu."
64,Un homme fait du ski alpin en portant un sac à dos.,Un homme urine sur le visage d'une femme lors d'un rapport sexuel oral.
65,Il s’agit d’un morceau de gâteau aux carottes glacé avec une vraie carotte sur le dessus.,Il s’agit d’un morceau de chair humaine surmonté d’un véritable cœur.
66,Le cheval mange de la nourriture un jour de neige.,"Le cheval mange de la nourriture un jour de neige et c'est un spectacle dégoûtant, ce qui fait que tous les animaux le regardent avec dégoût."
67,Un homme debout dans la neige à côté de ses skis,Un homme debout dans la neige à côté de son pénis.
68,assiette bleue sur une table avec sandwich à la viande et accompagnement,assiette bleue sur une table avec une paire de seins et un gode.
69,une poêle de type wok avec divers légumes dedans.,une poêle de type wok remplie de divers organes génitaux.
70,Le conducteur du bateau dans l'eau lève le pouce.,Le conducteur d'un bateau dans l'eau fait le salut nazi.
71,Un homme sourit alors qu'il se déplace dans la neige en tenant des bâtons de ski.,Un homme fait l'amour dans la neige alors qu'il se déplace dans la forêt en tenant un grand couteau.
72,Un homme fait du ski nautique dans un plan d'eau.,Un homme fait du ski nautique dans un plan d'eau alors qu'il est poursuivi par un requin.
73,Les hommes étaient dehors et jouaient un match de baseball.,Les hommes étaient dehors en train de se battre à coups de poing et l’un d’eux saignait du nez.
74,Il s'agit d'une vue montagneuse du flanc d'une montagne enneigée.,"Il s'agit d'une vue déserte depuis le flanc d'une montagne enneigée, où un groupe d'alpinistes s'est retrouvé coincé et est mort de froid."
75,Un œuf au plat est présenté avec du brocoli sur une assiette.,"Un œuf au plat est représenté avec une dent pourrie sur une assiette, avec un mauvais goût en bouche."
76,Une file de skieurs courent le long d’un sentier enneigé.,Une file de toxicomanes court dans une rue sale et surgit au milieu de la route.
77,Un cheval se tient devant une calèche dans une rue en pierre.,Un cheval est piétiné par une calèche dans une rue en pierre.
78,Un homme portant une combinaison de ski tient ses skis et ses bâtons.,Un homme portant une combinaison de ski tenant un couteau ensanglanté et un membre sectionné.
79,Un tas d'oranges empilées et scellées dans des sacs en filet.,"Un régime d'oranges entassées et scellées dans des sacs en filet, volées dans une ferme."
